Sample ID,Gravel (>2 mm),Sand (2 mm - 0.063 mm),Silt (0.63 mm - 0.039 mm),Clay (< 0.039 mm)
PALSED_280822,1.159031419,69.85785734,26.70684794,2.276263307
PALSED_091022,1.522009162,73.94307519,21.51508529,3.019830357
PALSED_261222,2.626842332,71.58191594,23.79697471,1.994267018
PALSED_220123,5.15779823,72.24786602,20.25762513,2.336710619
ZCSED_081022,2.959719538,22.26078752,51.02711496,23.75237798
COCSED_100922,19.72290274,61.97838037,15.94928087,2.349436024
GEOSED_061122,6.720479805,89.04550295,3.513522715,0.720494531
GEOSED_240123,3.108396445,92.92478971,2.895484556,1.071329286
NELSED_240123,30.94661263,49.81335625,15.96596338,3.274067745
PICSED_100922,25.96522525,56.56030239,13.42350307,4.050969281
PICSED_240123,39.29299614,46.98380841,9.406957941,4.316237506
WEISED_271022,19.99049435,55.20529052,21.21310734,3.591107793
HERSED_261022,0.018547959,99.69355239,0.287899648,0
KARSED_011122,23.58250297,43.32292876,28.33094931,4.763618958
CLASED_081022,0.361752537,59.17695107,38.93839889,1.522897503
GLDSED_111022,1.557816378,72.23152816,23.58862237,2.622033086
